1F412	monkey
1F98D	gorilla
1F9A7	orangutan
1F415	dog
1F429	poodle
1F43A	wolf
1F98A	fox
1F408	cat
1F981	lion
1F405	tiger
1F406	leopard
1FACE	moose
1F40E	horse
1F984	unicorn
1F993	zebra
1F98C	deer
1F9AC	bison
1F402	ox
1F404	cow
1F416	pig
1F417	boar
1F40F	ram
1F410	goat
1F42A	camel
1F999	llama
1F992	giraffe
1F418	elephant
1F98F	rhinoceros
1F99B	hippopotamus
1F401	mouse
1F400	rat
1F439	hamster
1F407	rabbit
1F43F	chipmunk
1F9AB	beaver
1F994	hedgehog
1F987	bat
1F43B	bear
1F428	koala
1F43C	panda
1F9A5	sloth
1F9A6	otter
1F9A8	skunk
1F998	kangaroo
1F9A1	badger
1F983	turkey
1F414	chicken
1F413	rooster
1F426	bird
1F427	penguin
1F54A	dove
1F985	eagle
1F986	duck
1F9A2	swan
1F989	owl
1F9A9	flamingo
1F99A	peacock
1F99C	parrot
1FABF	goose
1F438	frog
1F40A	crocodile
1F422	turtle
1F98E	lizard
1F40D	snake
1F409	dragon
1F40B	whale
1F42C	dolphin
1F9AD	seal
1F41F	fish
1F421	blowfish
1F988	shark
1F419	octopus
1F980	crab
1F99E	lobster
1F990	shrimp
1F991	squid
1F40C	snail
1F98B	butterfly
1F41B	bug
1F41C	ant
1F41D	honeybee
1FAB2	beetle
1F577	spider
1F982	scorpion
1F99F	mosquito
1FAB1	worm
1F344	mushroom
1F347	grapes
1F348	melon
1F349	watermelon
1F34B	lemon
1F34C	banana
1F34D	pineapple
1F350	pear
1F351	peach
1F353	strawberry
1F345	tomato
1F965	coconut
1F951	avocado
1F954	potato
1F955	carrot
1F952	cucumber
1F966	broccoli
1F9C4	garlic
1F9C5	onion
1F35E	bread
1F950	croissant
1F96F	bagel
1F95E	pancakes
1F9C7	waffle
1F953	bacon
1F354	hamburger
1F355	pizza
1F96A	sandwich
1F32E	taco
1F32F	burrito
1F95A	egg
1F373	cooking
1F9C2	salt
1F35D	spaghetti
1F363	sushi
1F95F	dumpling
1F369	doughnut
1F36A	cookie
1F967	pie
1F36C	candy
1F36D	lollipop
1FAD6	teapot
1F9CA	ice
1F962	chopsticks
1F944	spoon
1FAD9	jar
1F686	train
1F687	metro
1F68A	tram
1F69D	monorail
1F68C	bus
1F68E	trolleybus
1F691	ambulance
1F695	taxi
1F697	automobile
1F69C	tractor
1F3CD	motorcycle
1F6B2	bicycle
26F5	sailboat
1F6F6	canoe
1F6A4	speedboat
26F4	ferry
1F6A2	ship
2708	airplane
1F681	helicopter
1F680	rocket
F8FF	apple
E0C7	cake
